,G,AB,SO,SF,HBP,IBB,SH,BB,R,H,SB,RBI,HR,2B,3B,W,SHO,CG,SV,SO,HRA,HA,ER,IP,ERA,HOF
allenhe01,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
allenho01,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
allenja01,27,108,14,0,0,0,0,2,14,16,0,7,0,3,2,0,0,0,0,0,0,0,0,0,NA,0
allenja02,86,273,52,0,1,0,6,33,23,61,6,21,4,10,0,0,0,0,0,0,0,0,0,0,NA,0
allenje01,342,1031,228,10,24,1,21,104,155,268,42,114,15,49,8,0,0,0,0,0,0,0,0,0,NA,0
allenjo01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,6,18,0
allenjo02,365,716,155,0,0,0,36,33,82,124,1,64,4,12,3,142,17,109,18,1070,104,1849,813,5851,3.75166638181507,0
allenki01,42,54,5,0,1,2,2,8,10,12,12,3,0,3,0,0,0,0,0,0,0,0,0,0,NA,0
allenll01,159,40,14,0,0,0,3,0,2,8,0,1,1,1,0,8,0,0,22,194,19,291,155,892,4.69170403587444,0
allenlu01,8,9,3,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
allenmy01,156,606,3,0,6,0,0,45,89,157,30,88,4,28,14,1,0,3,0,3,0,34,7,107,1.76635514018692,0
allenne01,434,115,51,0,0,0,11,3,3,15,0,7,0,2,2,58,6,7,75,611,73,985,426,2965,3.87925801011804,0
allenni01,216,500,73,0,6,0,10,33,41,116,8,36,0,13,5,0,0,0,0,0,0,0,0,0,NA,0
allenpe01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
allenro01,7,11,5,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0
allenro02,31,50,11,0,1,0,1,2,8,11,1,3,0,2,0,0,0,0,0,0,0,0,0,0,NA,0
allensl01,14,23,0,0,2,0,1,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
alleyge01,1195,3927,622,22,27,62,56,300,442,999,63,342,55,140,44,0,0,0,0,0,0,0,0,0,NA,0
alliebo01,21,45,6,0,0,1,1,1,4,8,0,2,1,1,0,0,0,0,0,0,0,0,0,0,NA,0
alliega01,121,418,84,3,2,0,3,56,38,83,1,30,3,8,6,0,0,0,0,0,0,0,0,0,NA,0
allisan01,24,93,3,0,0,0,0,0,11,15,0,9,0,3,0,0,0,0,0,0,0,0,0,0,NA,0
allisar01,168,740,18,0,0,0,0,5,106,188,10,70,1,19,8,0,0,0,0,0,0,0,0,0,NA,0
allisbi01,5,19,1,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
allisbo01,1541,5032,1033,35,34,30,25,795,811,1281,84,796,256,216,53,0,0,0,0,0,0,0,0,0,NA,0
allisda01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,16,9,33,7.36363636363636,0
allisdo01,318,1407,40,0,0,0,0,22,236,381,5,140,2,43,10,0,0,0,0,0,0,11,1,15,1.8,0
allisma01,45,76,9,0,0,0,1,2,3,9,0,1,0,0,0,9,1,17,1,57,4,247,87,740,3.17432432432432,0
allismi01,49,60,9,0,0,0,3,15,15,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
allrebe01,65,165,48,2,1,2,3,29,19,38,2,15,4,7,0,0,0,0,0,0,0,0,0,0,NA,0
almadme01,646,2483,150,0,5,0,35,214,363,706,56,197,15,107,27,0,0,0,0,0,0,0,0,0,NA,0
almanar01,254,4,2,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,2,232,34,189,115,644,4.82142857142857,0
almanca01,210,4,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,170,35,252,128,717,4.82008368200837,0
almeira01,102,285,40,0,3,0,11,25,32,77,7,46,3,13,6,0,0,0,0,0,0,0,0,0,NA,0
almonab01,166,508,133,5,1,0,7,39,65,124,12,48,10,26,6,0,0,0,0,0,0,0,0,0,NA,0
almonbi01,1236,3330,636,29,6,24,44,250,390,846,128,296,36,138,25,0,0,0,0,0,0,0,0,0,NA,0
almoned01,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,21,14,34,11.1176470588235,0
almoner01,55,133,29,0,1,0,2,8,18,31,3,14,2,7,0,0,0,0,0,0,0,0,0,0,NA,0
almonhe01,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,6,63,36,155,6.27096774193548,0
almonmi01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,7,6,26,6.23076923076923,0
almonzo01,47,142,33,1,0,0,0,6,11,30,4,12,2,4,0,0,0,0,0,0,0,0,0,0,NA,0
alomalu01,116,48,17,0,0,0,2,1,2,8,0,3,0,1,0,18,1,1,15,115,21,212,90,706,3.44192634560906,0
alomaro01,2379,9073,1140,97,50,62,148,1032,1508,2724,474,1134,210,504,80,0,0,0,0,0,0,0,0,0,NA,0
alomasa01,1481,4760,482,18,3,17,77,302,558,1168,227,282,13,126,19,0,0,0,0,0,0,0,0,0,NA,0
alomasa02,1377,4530,499,34,41,15,48,212,520,1236,25,588,112,249,10,0,0,0,0,0,0,0,0,0,NA,0
alonsyo01,508,1621,263,17,9,18,1,163,169,443,17,183,32,93,2,0,0,0,0,0,0,0,0,0,NA,0
aloufe01,2082,7339,706,56,57,67,33,423,985,2101,107,852,206,359,49,0,0,0,0,0,0,0,0,0,NA,0
alouje01,1380,4345,267,20,30,32,44,138,448,1216,31,377,32,170,26,0,0,0,0,0,0,0,0,0,NA,0
alouma01,1667,5789,377,29,36,38,55,311,780,1777,156,427,31,236,50,0,0,0,0,3,0,3,0,6,0,0
aloumo01,1942,7037,894,82,48,91,9,737,1109,2134,106,1287,332,421,39,0,0,0,0,0,0,0,0,0,NA,0
alperwh01,450,1632,0,0,39,0,57,30,134,387,27,141,7,60,36,0,0,0,0,0,0,0,0,0,NA,0
alstode01,189,332,44,5,2,3,7,28,48,79,20,35,3,7,4,0,0,0,0,0,0,0,0,0,NA,0
alstoga01,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,9,6,18,9,0
alstoto01,91,271,46,1,2,0,0,25,30,66,3,36,4,15,2,0,0,0,0,0,0,0,0,0,NA,0
alstowa01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
altampo01,65,8,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,2,57,13,87,41,275,4.02545454545455,0
altener01,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,40,23,69,9,0
altenje01,19,31,5,0,0,0,1,1,3,9,0,3,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
altheaa01,41,142,43,2,5,0,1,16,25,33,6,22,5,11,4,0,0,0,0,0,0,0,0,0,NA,0
altizda01,514,1734,5,0,33,0,84,140,204,433,119,116,4,36,21,0,0,0,0,0,0,0,0,0,NA,0
altmage01,991,3091,572,21,20,38,19,268,409,832,52,403,101,132,34,0,0,0,0,0,0,0,0,0,NA,0
altobjo01,166,257,42,3,2,0,5,23,27,54,3,28,5,8,3,0,0,0,0,0,0,0,0,0,NA,0
altroni01,230,550,0,0,11,0,15,29,52,97,5,27,2,9,1,83,16,128,7,425,17,1455,445,4542,2.64531043593131,0
altuvjo01,668,2721,308,24,24,20,17,146,341,830,169,226,36,162,14,0,0,0,0,0,0,0,0,0,NA,0
alusige01,298,652,103,4,4,3,4,73,75,167,1,93,23,31,2,0,0,0,0,0,0,0,0,0,NA,0
alvarab01,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,19,13,31,11.3225806451613,0
alvarcl01,2,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
alvarda01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,9,7,15,12.6,0
alvarda02,12,29,8,0,0,0,0,2,3,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,0
alvarga01,92,266,76,2,2,1,0,24,22,59,1,33,7,15,0,0,0,0,0,0,0,0,0,0,NA,0
alvarhe01,92,94,34,2,0,0,12,1,5,22,0,9,1,4,0,27,5,5,0,296,54,596,238,1689,3.80461811722913,0
alvarjo01,99,11,2,0,0,0,3,1,0,3,0,0,0,0,0,8,0,0,5,134,12,140,54,487,2.99383983572895,0
alvarjo02,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,91,12,101,51,319,4.3166144200627,0
alvarju01,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,58,35,181,5.22099447513812,0
alvarlu01,463,1160,160,5,3,10,14,49,116,248,11,84,5,43,4,0,0,0,0,0,0,0,0,0,NA,0
alvaror01,25,51,5,0,0,0,0,0,4,8,0,8,2,2,0,0,0,0,0,0,0,0,0,0,NA,0
alvaros01,95,198,27,0,0,0,5,16,20,42,1,5,0,3,0,0,0,0,0,0,0,0,0,0,NA,0
alvarpe01,742,2500,809,13,11,30,1,259,300,590,14,401,131,108,6,0,0,0,0,0,0,0,0,0,NA,0
alvarrj01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,30,23,84,7.39285714285714,0
alvarro01,17,37,13,0,0,0,0,1,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
alvarta01,19,16,5,0,0,0,3,0,1,2,0,0,0,0,0,3,0,0,0,26,2,65,35,175,5.4,0
alvarto01,38,64,12,2,1,0,1,7,11,16,1,10,2,4,0,0,0,0,0,0,0,0,0,0,NA,0
alvarvi01,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,18,13,48,7.3125,0
alvarwi01,355,95,33,0,0,0,5,4,6,13,0,1,0,0,0,102,5,12,4,1330,190,1624,769,5243,3.96013732595842,0
alvisma01,1013,3629,662,22,35,25,36,262,421,895,43,373,111,142,22,0,0,0,0,0,0,0,0,0,NA,0
alvorbi01,265,1069,83,0,1,0,0,44,129,270,27,109,3,31,30,0,0,0,0,0,0,0,0,0,NA,0
alyeabr01,371,866,210,10,6,7,0,100,100,214,5,148,38,33,2,0,0,0,0,0,0,0,0,0,NA,0
amalfjo01,643,1715,224,8,12,9,17,185,248,418,19,123,9,67,19,0,0,0,0,0,0,0,0,0,NA,0
amarari01,727,1788,277,13,16,1,29,176,305,493,112,159,11,82,10,0,0,0,0,0,0,0,0,0,NA,0
amarial01,541,1442,231,14,4,11,21,94,140,328,29,139,18,55,16,0,0,0,0,0,0,0,0,1,0,0
amaroru01,940,2155,280,12,10,24,47,227,211,505,11,156,8,75,13,0,0,0,0,0,0,0,0,0,NA,0
amaroru02,485,927,128,8,16,2,11,88,99,218,15,100,16,43,9,0,0,0,0,0,0,0,0,0,NA,0
amblewa01,271,782,64,0,0,0,25,83,60,175,4,73,0,39,2,0,0,0,0,0,0,0,0,0,NA,0
ambrech01,80,189,48,1,2,1,3,23,28,44,4,10,4,9,0,0,0,0,0,0,0,0,0,0,NA,0
ambrihe01,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,87,18,134,63,318,5.34905660377359,0
amelued01,42,57,8,0,0,0,1,2,7,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
amesre01,533,1014,204,0,0,0,47,61,52,143,5,63,3,10,7,183,26,209,36,1702,42,2896,934,9594,2.62851782363977,0
amesst01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,2,12,4.5,0
amezaal01,584,1408,223,8,14,7,28,112,173,348,49,110,12,47,19,0,0,0,0,0,0,0,0,0,NA,0
amoledo01,18,48,0,0,2,0,0,2,5,5,0,5,0,0,0,4,0,10,0,30,0,150,63,358,4.75139664804469,0
amorosa01,517,1311,189,7,11,16,18,211,215,334,18,180,43,55,23,0,0,0,0,0,0,0,0,0,NA,0
amorvi01,13,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,12,2,50,21,100,5.67,0
anckewa01,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,19,7,53,3.56603773584906,0
anderal01,126,390,49,0,1,0,5,33,56,93,6,17,1,11,3,0,0,0,0,0,0,0,0,0,NA,0
anderal02,150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,3,15,0,339,87,901,374,2456,4.11156351791531,0
anderan01,122,223,36,0,0,0,3,22,23,41,0,17,2,8,1,0,0,0,0,0,0,0,0,0,NA,0
anderbi01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,8,10.125,0
anderbo01,247,246,107,1,2,0,15,10,18,33,0,12,2,2,1,36,1,15,13,502,80,858,398,2522,4.2609040444092,0
anderbr01,1834,6499,1190,50,154,59,74,960,1062,1661,315,761,210,338,67,0,0,0,0,0,0,0,0,0,NA,0
anderbr02,308,255,57,3,1,0,22,7,15,35,2,10,1,5,3,82,4,12,1,723,264,1743,814,4641,4.73561732385262,0
anderbr03,355,799,208,4,8,2,7,65,108,181,13,80,22,47,1,0,0,0,0,0,0,0,0,0,NA,0
anderbr04,123,65,41,0,0,0,10,5,1,6,0,4,0,3,0,37,1,3,3,502,59,696,279,2023,3.72367770637667,0
anderbr05,40,68,19,2,2,0,1,4,4,15,1,7,0,4,0,0,0,0,0,0,0,0,0,0,NA,0
anderbu01,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,7,76,12,148,61,447,3.68456375838926,0
anderch01,50,82,37,0,1,0,14,1,0,6,0,3,0,0,0,15,0,0,0,216,34,275,124,801,4.17977528089888,0
anderco01,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,44,9,77,31,274,3.05474452554745,0
andercr01,82,47,14,0,0,0,3,1,4,7,0,0,0,1,0,7,0,2,5,94,21,226,109,577,5.10051993067591,0
anderda01,21,62,15,0,2,0,0,1,6,6,0,0,0,1,0,3,0,15,0,56,4,177,91,451,5.44789356984479,0
anderda02,873,2026,331,13,5,17,37,206,244,490,49,143,19,73,12,0,0,0,0,0,0,0,0,0,NA,0
anderdr01,9,9,4,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
anderdw01,149,306,70,0,2,2,2,32,33,62,2,14,1,6,2,0,0,0,0,0,0,0,0,0,NA,0
anderfe01,97,234,25,0,4,0,7,18,20,61,1,15,2,12,0,0,0,0,0,0,0,0,0,0,NA,0
anderfr01,180,312,98,0,1,0,13,10,17,41,0,12,0,6,1,53,11,62,8,514,22,912,313,2959,2.85603244339304,0
anderga01,2228,8640,1224,87,8,104,13,429,1084,2529,80,1365,287,522,36,0,0,0,0,0,0,0,0,0,NA,0
anderge01,269,1007,111,0,15,0,19,98,148,289,36,69,5,40,17,0,0,0,0,0,0,0,0,0,NA,0
andergo01,127,413,0,0,6,0,11,80,73,85,27,12,1,3,1,0,0,0,0,0,0,0,0,0,NA,0
anderha01,9,32,1,0,0,0,1,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
anderha02,484,1586,291,15,16,32,9,159,199,419,3,242,60,82,16,0,0,0,0,0,0,0,0,0,NA,0
anderja01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,6,38,27,114,6.39473684210526,0
anderji01,419,970,130,6,5,2,29,81,107,211,9,86,13,35,2,0,0,0,0,0,0,0,0,0,NA,0
anderji02,122,170,44,0,0,0,15,8,11,23,0,6,0,3,0,25,0,3,1,241,58,672,346,1724,5.41879350348028,0
anderjo01,1635,6341,55,0,53,0,64,310,870,1841,338,976,49,328,124,0,0,0,0,0,0,0,0,0,NA,0
anderjo02,24,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19,6,64,32,134,6.44776119402985,0
anderjo03,179,486,82,1,4,2,2,26,73,132,36,47,4,17,5,0,0,0,0,0,0,0,0,0,NA,0
anderke01,135,366,61,1,2,1,10,30,43,95,1,22,1,12,2,0,0,0,0,0,0,0,0,0,NA,0
anderla01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,23,4,48,26,124,5.66129032258065,0
anderla02,699,38,15,0,0,0,4,3,4,5,0,0,0,0,0,40,0,0,49,758,58,932,348,2986,3.14668452779638,0
anderla03,30,48,14,1,0,0,0,7,7,8,0,4,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
anderma01,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,26,224,30,249,148,770,5.18961038961039,0
anderma02,1151,3204,471,31,15,28,31,227,392,849,71,371,63,174,20,0,0,0,0,0,0,0,0,0,NA,0
andermi01,721,1490,343,13,4,25,7,161,159,367,8,134,28,67,11,0,0,0,0,2,0,2,0,3,0,0
andermi02,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,11,16,18.5625,0
anderre01,36,39,12,0,0,0,2,2,1,11,0,1,0,0,1,5,0,3,0,40,7,150,66,410,4.34634146341463,0
anderri01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,9,5,36,3.75,0
anderri02,28,11,4,0,0,0,1,0,1,1,0,0,0,0,0,4,0,0,1,42,9,112,51,290,4.74827586206897,0
andersc01,18,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28,4,58,33,164,5.43292682926829,0
andersp01,152,477,53,2,1,1,5,42,42,104,6,34,0,9,3,0,0,0,0,0,0,0,0,0,NA,0
anderva01,41,114,12,0,1,0,1,10,25,34,0,18,0,3,3,9,0,22,0,41,13,339,164,719,6.15855354659249,0
anderwa01,17,11,6,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,20,0,45,19,158,3.24683544303797,0
anderwi01,7,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,16,9,52,4.67307692307692,0
andinro01,468,1320,309,7,6,2,21,113,157,306,24,96,18,58,1,0,0,0,0,0,0,0,0,0,NA,0
andrast01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,14,9.64285714285714,0
andrecl01,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,6,34,23,62,10.0161290322581,0
andreed01,774,3233,245,0,9,0,0,194,602,830,205,278,12,117,26,0,0,0,0,0,0,0,0,0,NA,0
andreel01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,24,10.125,0
andreer01,15,41,5,0,0,0,0,3,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,NA,0
andrefr01,16,29,5,1,1,0,0,3,4,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
andrehu01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,17,6,35,4.62857142857143,0
andreiv01,253,319,62,0,0,0,17,18,26,59,0,29,0,9,0,50,2,43,8,257,59,1151,479,3123,4.14121037463977,0
andreji01,53,202,41,0,2,0,0,23,32,38,11,17,3,4,2,0,0,0,0,0,0,0,0,0,NA,0
andrejo01,22,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,7,45,29,135,5.8,0
andrejo02,16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,3,16,9,55,4.41818181818182,0
andreki01,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
andremi01,893,3116,390,23,16,12,72,458,441,803,18,316,66,140,4,0,0,0,0,0,0,0,0,0,NA,0
andrena01,128,240,66,0,0,0,19,23,8,35,0,16,0,5,0,41,5,50,2,216,40,798,297,2320,3.45646551724138,0
andrero01,493,1454,121,12,0,6,27,148,174,365,33,91,3,30,15,0,0,0,0,0,0,0,0,0,NA,0
andresh01,569,1704,515,19,7,17,3,191,196,375,7,263,86,76,4,0,0,0,0,0,0,0,0,0,NA,0
andrest01,70,149,16,0,1,0,0,8,11,32,2,12,1,2,1,0,0,0,0,0,0,0,0,0,NA,0
andrewa01,40,142,0,0,0,0,0,17,22,28,5,14,0,11,4,0,0,0,0,0,0,0,0,0,NA,0
andrima01,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,49,8,69,30,197,4.11167512690355,0
andrubi01,6,9,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
andruel01,1074,4119,614,29,30,2,95,361,573,1113,217,367,27,176,30,0,0,0,0,0,0,0,0,0,NA,0
andrufr01,9,41,5,0,0,0,0,1,9,12,0,2,0,3,0,1,0,1,0,2,1,11,2,27,2,0
andruwi01,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
andujjo01,407,607,315,1,0,0,51,30,31,77,7,38,5,12,2,127,19,68,9,1032,155,2016,857,6459,3.58244310264747,0
andujlu01,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,49,21,160,82,370,5.98378378378378,0
angelno01,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,19,1,15,6,59,2.74576271186441,0
anglema01,31,79,13,0,1,0,3,12,12,14,11,7,1,4,0,0,0,0,0,0,0,0,0,0,NA,0
angleto01,5,16,2,0,0,0,3,2,1,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
ankenpa01,15,29,5,0,0,0,2,0,2,7,0,3,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
ankieri01,653,1921,555,12,12,13,8,162,260,462,21,251,76,101,10,13,0,0,1,269,32,198,105,726,3.90495867768595,0
annade01,13,23,6,1,0,0,0,2,3,3,0,3,1,1,0,0,0,0,0,0,0,3,2,3,18,0
annisbi01,27,96,8,0,0,0,0,0,17,17,0,3,0,2,0,0,0,0,0,0,0,0,0,0,NA,0
ansonca01,2523,10277,302,0,32,0,27,983,1996,3418,276,2076,97,581,142,0,0,0,1,1,2,4,2,12,4.5,0
anthoer01,682,1999,491,19,5,22,3,217,249,462,24,269,78,81,8,0,0,0,0,0,0,0,0,0,NA,0
antoljo01,4,6,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
antonbi01,40,43,11,0,0,0,0,2,9,7,0,4,1,1,1,0,0,0,0,0,0,0,0,0,NA,0
antonjo01,135,528,29,0,2,0,6,24,50,133,1,29,1,28,2,0,0,0,0,0,0,0,0,0,NA,0
antonjo02,403,679,175,3,1,0,35,26,56,121,1,59,15,12,3,126,25,102,21,1162,185,1870,739,5977,3.33829680441693,0
antonma01,21,57,11,0,3,1,0,5,6,11,0,3,1,2,0,0,0,0,0,0,0,0,0,0,NA,0
aokino01,531,1963,169,9,36,2,24,171,266,563,81,156,24,91,16,0,0,0,0,0,0,0,0,0,NA,0
aparilu01,2601,10230,742,76,27,22,161,736,1335,2677,506,791,83,394,92,0,0,0,0,0,0,0,0,0,NA,0
apodabo01,184,58,17,1,0,0,3,5,4,10,0,3,0,3,0,16,0,1,26,197,22,312,114,1084,2.83948339483395,0
apontlu01,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,113,17,222,80,660,3.27272727272727,0
appieke01,414,83,39,0,1,0,5,1,4,8,0,4,0,0,0,169,12,34,0,1994,232,2425,1078,7786,3.73824813768302,0
appleed01,48,56,15,0,0,0,0,2,4,9,0,0,0,0,1,5,0,6,1,64,4,182,67,556,3.25359712230216,0
applefr01,3,7,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,3,0,12,0,29,15,63,6.42857142857143,0
applepe01,343,374,66,0,0,0,12,8,30,87,0,34,0,8,7,57,6,34,26,420,76,1187,545,3423,4.2988606485539,0
applilu01,2422,8856,528,0,11,0,74,1302,1319,2749,179,1116,45,440,102,0,0,0,0,0,0,0,0,0,NA,0
aquingr01,145,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,143,23,163,91,463,5.30669546436285,0
